CATEGORY,FUEL,UTILITY,STATION,STATE,Latitude,Longitude,Name,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
HYDRO,HYDRO,GBHPPL,BUDHIL HPS,HIMACHAL PRADESH,32.473,76.253,Taggi Budhil HPS,70,3,5.08
HYDRO,HYDRO,NHPC,CHAMERA- I HPS,HIMACHAL PRADESH,32.596,75.986, Chamera Dam Hydro Power Plant,540,47,64.3
HYDRO,HYDRO,NHPC,CHAMERA- II HPS,HIMACHAL PRADESH,32.595,75.985,Chamera Hydro Power Plant,300,35,37.77
HYDRO,HYDRO,NHPC,CHAMERA-III HPS,HIMACHAL PRADESH,32.6101,76.01557,CHAMERA-III HPS,231,19,18.31
HYDRO,HYDRO,HPSEB,GIRI BATA HPS,HIMACHAL PRADESH,30.586,77.468,Jataun Dam,60,9,10
HYDRO,HYDRO,HBPCL,KARCHAM WANGTOO HPS,HIMACHAL PRADESH,31.498,78.178,Karcham Wangtoo Dam,1000,110,101.51
HYDRO,HYDRO,HPPCL,KASHANG INTEGRATED HPS,HIMACHAL PRADESH,31.6001,78.3127,HPPCL Kashang Project Power House,130,6,3.31
HYDRO,HYDRO,NTPC Ltd.,KOLDAM HPS,HIMACHAL PRADESH,31.383,76.873,Koldam Dam,800,62,81.73
HYDRO,HYDRO,HPSEB,LARJI HPS,HIMACHAL PRADESH,31.723,77.214,Larji Dam,126,15,15.67
HYDRO,HYDRO,MPCL,MALANA HPS,HIMACHAL PRADESH,32.004,77.248,Malana Hydro Electric Plant,86,6,5.88
HYDRO,HYDRO,E.P.P.L.,MALANA-II HPS,HIMACHAL PRADESH,32.037,77.255,Malana II Reservoir,100,5,5.2
HYDRO,HYDRO,SJVNL,NATHPA JHAKRI HPS,HIMACHAL PRADESH,31.564,77.9798,NJHPS Intake Structure,1500,188,191.83
HYDRO,HYDRO,NHPC,PARBATI-III HPS,HIMACHAL PRADESH,31.78,77.328,Parbati Hydro Electric Project,520,10,12.31
HYDRO,HYDRO,SJVNL,RAMPUR HPS,HIMACHAL PRADESH,31.821,77.174,"Power House, Rampur HPS",412.02,75,53.41
HYDRO,HYDRO,HPPCL,SAINJ HPS,HIMACHAL PRADESH,31.468,78.187,Sai Hydro Power Plant Brua,0,10,0
HYDRO,HYDRO,HPSEB,SANJAY HPS,HIMACHAL PRADESH,31.621,78.021,Sanjay Vidyut Pariyojna HPSEBL bhabha,120,13,18.66
HYDRO,HYDRO,HSPCL,SORANG HPS,HIMACHAL PRADESH,31.594,77.875,Shorang Hydro Power Plant,0,0,0
HYDRO,HYDRO,NTPGPL,TIDONG HPS,HIMACHAL PRADESH,31.573,78.445,NSL TIDONG HEP,0,0,0
HYDRO,HYDRO,HPSEB,UHL-III HPS,HIMACHAL PRADESH,31.5402,76.896,"Control Gate, Sundernagar, Himachal Pradesh",0,0,0
HYDRO,HYDRO,JKSPDC,BAGLIHAR HPS,JAMMU AND KASHMIR,33.182,75.314,Baglihar Hydro Electric Project,450,110,94.97
HYDRO,HYDRO,JKSPDC,BAGLIHAR II HPS,JAMMU AND KASHMIR,33.161,75.327,Baglihar Hydro Electric Project,450,0,0
HYDRO,HYDRO,NHPC,CHUTAK HPS,JAMMU AND KASHMIR,34.458,76.074,Chutak Barrage,44,3,3.96
HYDRO,HYDRO,NHPC,DULHASTI HPS,JAMMU AND KASHMIR,33.368,75.798,Dul Hasti Dam,390,72,80.4
HYDRO,HYDRO,NHPC,KISHENGANGA HPS,JAMMU AND KASHMIR,34.649,74.751,Kishanganga Hydroelectric Plant,0,52,0
HYDRO,HYDRO,JKSPDC,LOWER JHELUM HPS,JAMMU AND KASHMIR,34.218,74.528,Lower Jhelum Hydroelectric Power Plant,105,20,23.85
HYDRO,HYDRO,NHPC,NIMMO BAZGO HPS,JAMMU AND KASHMIR,34.215,77.184,Nimoo Bazgo Hydroelectric Plant,45,9,9.3
THERMAL,NATURAL GAS,JKSPDC,PAMPORE GPS (Liq.),JAMMU AND KASHMIR,34.004,74.917,Pampore Power Grid,175,0,0
HYDRO,HYDRO,NHPC,SALAL HPS,JAMMU AND KASHMIR,33.142,74.811, NHPC salal,690,86,101.83
HYDRO,HYDRO,NHPC,SEWA-II HPS,JAMMU AND KASHMIR,32.624,75.915,Sewa-II Power House,120,13,25.15
HYDRO,HYDRO,JKSPDC,UPPER SINDH-II HPS,JAMMU AND KASHMIR,34.315,74.9399,UPPER SINDH-II HPS,105,6,6.91
HYDRO,HYDRO,NHPC,URI-I HPS,JAMMU AND KASHMIR,34.144,74.185,Uri Hydroelectric Project,480,86,102.81
HYDRO,HYDRO,NHPC,URI-II HPS,JAMMU AND KASHMIR,34.14,74.181,Uri Hydle Project Dam,240,52,62.28
THERMAL,COAL,DVC,BOKARO `B` TPS,JHARKHAND,23.784,85.8801,B' Plant,630,177,120.32
THERMAL,COAL,DVC,BOKARO TPS `A` EXP,JHARKHAND,23.683,86.091,BPSCL Power Plant,500,112,0
THERMAL,COAL,DVC,CHANDRAPURA(DVC) TPS,JHARKHAND,23.741,86.119,Chandrapura Thermal Power Station(DVC),890,420,472.82
THERMAL,COAL,TATA PCL,JOJOBERA TPS,JHARKHAND,22.754,86.247,Jojobera Power Plant,360,217,148.11
THERMAL,COAL,DVC,KODARMA TPP,JHARKHAND,24.389,85.5608,Koderma Power Plant,1000,298,222.44
THERMAL,COAL,ADHUNIK,MAHADEV PRASAD STPP,JHARKHAND,22.836,86.061,Mahadev Prasad Super Thermal Power Plant,540,212,292.32
THERMAL,NATURAL GAS,DVC,MAITHON GT (Liq.),JHARKHAND,23.785,86.811,Maithon Dam,0,0,0
HYDRO,HYDRO,DVC,MAITHON HPS.,JHARKHAND,23.7848,86.8124,Maithon Dam,63.2,5,7.25
THERMAL,COAL,MPL,MAITHON RB TPP,JHARKHAND,23.817,86.759,Maithon Power Plant,1050,594,669.76
THERMAL,COAL,CPL,MAITRISHI USHA TPS,JHARKHAND,23.738,84.7788,Matrishri Usha Jayaswal Thermal Power Plant,0,0,0
HYDRO,HYDRO,DVC,PANCHET HPS.,JHARKHAND,23.6808,86.747,Panchet Hill Hydel Power Station,80,2,1.83
THERMAL,COAL,PVUNL,PATRATU TPS,JHARKHAND,23.6407,85.29305,Patratu Thermal Power Station,455,69,27.71
HYDRO,HYDRO,JSEB,SUBERNREKHA HPS.,JHARKHAND,22.974,86.025,Subernarekha Project 4X2 MW,130,6,0
THERMAL,COAL,TVNL,TENUGHAT TPS,JHARKHAND,23.727,85.765,Tenughat Vidyut Nigam Limited,420,243,123.8
HYDRO,HYDRO,KPCL,ALMATTI DPH HPS,KARNATAKA,16.329,75.8859,Lal Bahadur Shastri Sagar Dam,290,31,16.77
THERMAL,DIESEL,TATA PCL,BELGAUM DG,KARNATAKA,15.8999,74.5426,TATA Power Generation Plant,81.3,0,0
THERMAL,DIESEL,BELLARY,BELLARY DG,KARNATAKA,15.1908,76.717,KPCL-Bellary Thermal Power Station,25.2,0,0
THERMAL,COAL,KPCL,BELLARY TPS,KARNATAKA,15.1906,76.720976,KPCL-Bellary Thermal Power Station,1700,835,618.46
HYDRO,HYDRO,KPCL,BHADRA HPS,KARNATAKA,13.701,75.636,Bhadra Dam,39.2,7,0.05
HYDRO,HYDRO,KPCL,GERUSUPPA HPS,KARNATAKA,14.2515,74.6752,Gerusoppa Dam,240,47,27.59
HYDRO,HYDRO,KPCL,GHAT PRABHA HPS,KARNATAKA,16.139,74.643,KPCL Power Plant,32,13,7.5
HYDRO,HYDRO,KPCL,HAMPI HPS,KARNATAKA,15.4899,76.7497,Sugur Mini Hydel Power Station,36,18,0.1
HYDRO,HYDRO,KPCL,JOG HPS,KARNATAKA,14.2274,74.7989,Mahatma Gandhi Hydroelectric Power Plant,139.2,16,14.26
HYDRO,HYDRO,KPCL,KADRA HPS,KARNATAKA,14.8962,74.3536,Kadra Dam,150,23,4.44
NUCLEAR,NUCLEAR,NPCIL,KAIGA,KARNATAKA,14.865,74.439,Kaiga Nuclear Plant,880,556,673.28
HYDRO,HYDRO,KPCL,KALINADI HPS,KARNATAKA,15.0785,76.647,Kalinadi Nagjhari Hydroelectric Power Plant,855,227,75.54
HYDRO,HYDRO,KPCL,KALINADI SUPA HPS,KARNATAKA,15.0785,76.647,Kalinadi Nagjhari Hydroelectric Power Plant,100,58,15.95
HYDRO,HYDRO,KPCL,KODASALI HPS,KARNATAKA,14.9213,74.534,Kodasalli Hydel Project,120,27,5.64
THERMAL,COAL,NTPC Ltd.,KUDGI STPP,KARNATAKA,16.496,75.842,NTPC Kudgi STPP,800,179,0
HYDRO,HYDRO,KPCL,LIGANAMAKKI HPS,KARNATAKA,14.17553,74.845,Linganamakki Dam,55,29,16.06
HYDRO,HYDRO,KPCL,MUNIRABAD HPS,KARNATAKA,15.2662,76.3294,Munirabad Power House,28,10,0
THERMAL,COAL,KPCL,RAICHUR TPS,KARNATAKA,16.349,77.3427,Raichur Thermal Power Station,1720,968,1053.83
HYDRO,HYDRO,KPCL,SHARAVATHI HPS,KARNATAKA,14.234,74.767,Sharavati Power Generation Plant,1035,452,319.27
HYDRO,HYDRO,KPCL,SIVASAMUNDRUM HPS,KARNATAKA,12.298,77.1707,Shivanasamudra Hydroelectric Power Station,42,19,1.62
HYDRO,HYDRO,KPCL,T B DAM HPS,KARNATAKA,15.261,76.3385,TB Dam Power House,36,0,1.7
THERMAL,COAL,JSWEL,TORANGALLU TPS(SBU-I),KARNATAKA,15.1874,76.664,JSW Energy Limited,260,181,165.68
THERMAL,COAL,JSWEL,TORANGALLU TPS(SBU-II),KARNATAKA,15.183994,76.6624,JSW Energy Limited,600,387,235.97
THERMAL,COAL,UPCL,UDUPI TPP,KARNATAKA,13.1598,74.8018,Udupi Power Corporation Limited,1200,726,774.31
HYDRO,HYDRO,KPCL,VARAHI HPS,KARNATAKA,13.696,75.00018,Varahi Underground Power House,460,95,42.2
THERMAL,DIESEL,KPCL,YELHANKA (DG),KARNATAKA,13.116,77.583,Karnataka Power Corporation Limited ( KPCL) Deisel Generation Plant,127.92,0,0
THERMAL,COAL,KPCL,YERMARUS TPP,KARNATAKA,16.294,77.356,Yermarus Thermal Power Station(Yeganur),800,445,0
THERMAL,DIESEL,KSEB,BRAMHAPURAM DG,KERALA,10,76.22,Brahmapuram Diesel Power Plant,63.96,3,0
THERMAL,NATURAL GAS,BSES(C),COCHIN CCPP (Liq.),KERALA,10.069,76.3029,BSES Kerala Power Limited,174,0,0
